Project_ID, Software_Version, Pattern_Type, Pattern_ID, Num_Participating_Classes, Num_Conforming_Roles, Num_NonConforming_Roles, SSize2, Afferent_Coupling, Efferent_Coupling, Coupling_Between_Pattern_Classes, Pattern_Integrity, Pattern_Instability
selenium, 0, OBJECT_ADAPTER, 0, 2, 5, 3, 47, 3, 13, 1, 0.62, 0.81
selenium, 1, OBJECT_ADAPTER, 0, 2, 5, 3, 47, 3, 13, 1, 0.62, 0.81
selenium, 2, OBJECT_ADAPTER, 0, 2, 5, 3, 46, 1, 13, 1, 0.62, 0.93
selenium, 3, OBJECT_ADAPTER, 0, 2, 5, 3, 46, 1, 13, 1, 0.62, 0.93
selenium, 4, OBJECT_ADAPTER, 0, 2, 5, 3, 46, 1, 13, 1, 0.62, 0.93
selenium, 5, OBJECT_ADAPTER, 0, 2, 5, 3, 45, 1, 13, 1, 0.62, 0.93
selenium, 6, OBJECT_ADAPTER, 0, 2, 5, 3, 45, 1, 13, 1, 0.62, 0.93
selenium, 7, OBJECT_ADAPTER, 0, 2, 5, 3, 45, 1, 13, 1, 0.62, 0.93
selenium, 8, OBJECT_ADAPTER, 0, 2, 5, 3, 49, 1, 15, 1, 0.62, 0.94
selenium, 9, OBJECT_ADAPTER, 0, 2, 5, 3, 54, 1, 15, 1, 0.62, 0.94
selenium, 10, OBJECT_ADAPTER, 0, 2, 5, 3, 53, 1, 15, 1, 0.62, 0.94
selenium, 0, OBJECT_ADAPTER, 1, 2, 7, 3, 48, 3, 18, 1, 0.7, 0.86
selenium, 1, OBJECT_ADAPTER, 1, 2, 7, 3, 49, 3, 18, 1, 0.7, 0.86
selenium, 2, OBJECT_ADAPTER, 1, 2, 7, 3, 49, 1, 18, 1, 0.7, 0.95
selenium, 3, OBJECT_ADAPTER, 1, 2, 7, 3, 49, 1, 18, 1, 0.7, 0.95
selenium, 4, OBJECT_ADAPTER, 1, 2, 7, 3, 49, 1, 18, 1, 0.7, 0.95
selenium, 5, OBJECT_ADAPTER, 1, 2, 7, 3, 47, 1, 18, 1, 0.7, 0.95
selenium, 6, OBJECT_ADAPTER, 1, 2, 7, 3, 47, 1, 18, 1, 0.7, 0.95
selenium, 7, OBJECT_ADAPTER, 1, 2, 7, 3, 47, 1, 18, 1, 0.7, 0.95
selenium, 8, OBJECT_ADAPTER, 1, 2, 7, 3, 47, 1, 18, 1, 0.7, 0.95
selenium, 9, OBJECT_ADAPTER, 1, 2, 7, 3, 50, 1, 18, 1, 0.7, 0.95
selenium, 10, OBJECT_ADAPTER, 1, 2, 7, 3, 49, 1, 18, 1, 0.7, 0.95
selenium, 11, OBJECT_ADAPTER, 1, 2, 7, 3, 49, 2, 18, 1, 0.7, 0.9
selenium, 12, OBJECT_ADAPTER, 1, 2, 7, 3, 50, 3, 19, 1, 0.7, 0.86
selenium, 13, OBJECT_ADAPTER, 1, 2, 7, 3, 50, 3, 19, 1, 0.7, 0.86
selenium, 0, OBJECT_ADAPTER, 2, 2, 7, 3, 65, 6, 17, 2, 0.7, 0.74
selenium, 1, OBJECT_ADAPTER, 2, 2, 7, 3, 66, 6, 17, 2, 0.7, 0.74
selenium, 2, OBJECT_ADAPTER, 2, 2, 7, 3, 66, 4, 17, 2, 0.7, 0.81
selenium, 3, OBJECT_ADAPTER, 2, 2, 7, 3, 66, 4, 17, 2, 0.7, 0.81
selenium, 4, OBJECT_ADAPTER, 2, 2, 7, 3, 66, 4, 17, 2, 0.7, 0.81
selenium, 5, OBJECT_ADAPTER, 2, 2, 7, 3, 65, 4, 17, 2, 0.7, 0.81
selenium, 6, OBJECT_ADAPTER, 2, 2, 7, 3, 65, 4, 17, 2, 0.7, 0.81
selenium, 7, OBJECT_ADAPTER, 2, 2, 7, 3, 65, 4, 17, 2, 0.7, 0.81
selenium, 8, OBJECT_ADAPTER, 2, 2, 7, 3, 65, 5, 17, 2, 0.7, 0.77
selenium, 9, OBJECT_ADAPTER, 2, 2, 7, 3, 62, 5, 17, 2, 0.7, 0.77
selenium, 10, OBJECT_ADAPTER, 2, 2, 7, 3, 62, 5, 17, 2, 0.7, 0.77
selenium, 11, OBJECT_ADAPTER, 2, 2, 7, 3, 62, 5, 17, 2, 0.7, 0.77
selenium, 12, OBJECT_ADAPTER, 2, 2, 7, 3, 62, 5, 17, 2, 0.7, 0.77
selenium, 13, OBJECT_ADAPTER, 2, 2, 7, 3, 62, 5, 17, 2, 0.7, 0.77
selenium, 0, OBJECT_ADAPTER, 3, 2, 5, 3, 81, 13, 24, 1, 0.62, 0.65
selenium, 1, OBJECT_ADAPTER, 3, 2, 5, 3, 80, 13, 23, 1, 0.62, 0.64
selenium, 2, OBJECT_ADAPTER, 3, 2, 5, 3, 82, 14, 24, 1, 0.62, 0.63
selenium, 3, OBJECT_ADAPTER, 3, 2, 5, 3, 83, 14, 24, 1, 0.62, 0.63
selenium, 4, OBJECT_ADAPTER, 3, 2, 5, 3, 83, 14, 24, 1, 0.62, 0.63
selenium, 5, OBJECT_ADAPTER, 3, 2, 5, 3, 83, 14, 24, 1, 0.62, 0.63
selenium, 6, OBJECT_ADAPTER, 3, 2, 5, 3, 83, 14, 24, 1, 0.62, 0.63
selenium, 7, OBJECT_ADAPTER, 3, 2, 5, 3, 83, 13, 24, 1, 0.62, 0.65
selenium, 8, OBJECT_ADAPTER, 3, 2, 5, 3, 83, 14, 23, 1, 0.62, 0.62
selenium, 9, OBJECT_ADAPTER, 3, 2, 5, 3, 83, 13, 23, 1, 0.62, 0.64
selenium, 10, OBJECT_ADAPTER, 3, 2, 5, 3, 85, 13, 24, 1, 0.62, 0.65
selenium, 11, OBJECT_ADAPTER, 3, 2, 5, 3, 85, 14, 24, 1, 0.62, 0.63
selenium, 12, OBJECT_ADAPTER, 3, 2, 5, 3, 87, 14, 24, 2, 0.62, 0.63
selenium, 13, OBJECT_ADAPTER, 3, 2, 5, 3, 87, 13, 24, 2, 0.62, 0.65
selenium, 14, OBJECT_ADAPTER, 3, 2, 5, 3, 84, 13, 24, 2, 0.62, 0.65
