Project_ID	Software_Version	Pattern_Type	Pattern_ID	Num_Participating_Classes	Num_Conforming_Structural_Roles	Num_NonConforming_Structural_Roles	Num_Conforming_Behavioral_Roles	Num_NonConforming_Behavioral_Roles	Num_Conforming_Roles_Total	Num_NonConforming_Roles_Total	SSize2	Pattern_Members	Afferent_Coupling	Efferent_Coupling	Coupling_Between_Pattern_Classes	Pattern_Structural_Integrity	Pattern_Behavioral_Integrity	Pattern_Integrity	Pattern_Instability	Pattern_Structural_Aberrations	Pattern_Behavioral_Aberrations	MG-PEA grime count	MG-PEA grime additions	MG-PEA grime removals	MG-PEE grime count	MG-PEE grime additions	MG-PEE grime removals	MG-PI grime count	MG-PI grime additions	MG-PI grime removals	MG-TEA grime count	MG-TEA grime additions	MG-TEA grime removals	MG-TEE grime count	MG-TEE grime additions	MG-TEE grime removals	MG-TI grime count	MG-TI grime additions	MG-TI grime removals	CG-DIP grime count (across all pattern classes)	CG-DIP grime average (across all pattern classes)	CG-DIS grime count (across all pattern classes)	CG-DIS grime average (across all pattern classes)	CG-DEP grime count (across all pattern classes)	CG-DEP grime average (across all pattern classes)	CG-DES grime count (across all pattern classes)	CG-DES grime average (across all pattern classes)	CG-IIP grime count (across all pattern classes)	CG-IIP grime average (across all pattern classes)	CG-IIS grime count (across all pattern classes)	CG-IIS grime average (across all pattern classes)	CG-IEP grime count (across all pattern classes)	CG-IEP grime average (across all pattern classes)	CG-IES grime count (across all pattern classes)	CG-IES grime average (across all pattern classes)	OG-PEA grime count	OG-PEA grime additions	OG-PEA grime removals	OG-PI grime count	OG-PI grime additions	OG-PI grime removals	OG-TEA grime count	OG-TEA grime additions	OG-TEA grime removals	OG-TI grime count	OG-TI grime additions	OG-TI grime removals	RG-PEA grime count	RG-PEA grime additions	RG-PEA grime removals	RG-PEE grime count	RG-PEE grime additions	RG-PEE grime removals	RG-PI grime count	RG-PI grime additions	RG-PI grime removals	RG-TEA grime count	RG-TEA grime additions	RG-TEA grime removals	RG-TEE grime count	RG-TEE grime additions	RG-TEE grime removals	RG-TI grime count	RG-TI grime additions	RG-TI grime removals	
commons-lang	0	OBJECT_ADAPTER	org.apache.commons.lang.exception.NestableDelegate	3	33	4	1	1	34	5	25	17	2	5	0	0.89	0.5	0.87	0.71	17	16	1	1	0	3	3	0	0	0	0	0	0	0	13	13	0	0	0	0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	6	6	0	0	0	0	3	3	0	0	0	0	2	2	0	5	5	0	
commons-lang	1	OBJECT_ADAPTER	org.apache.commons.lang.exception.NestableDelegate	4	27	4	1	1	28	5	28	18	2	6	0	0.87	0.5	0.85	0.75	18	23	1	0	0	4	1	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0.0	1	0.16666666666666666	0	0.0	1	0.16666666666666666	0	0.0	1	0.16666666666666666	0	0.0	1	0.16666666666666666	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	3	0	0	2	2	0	4	2	0	8	3	0	
commons-lang	2	OBJECT_ADAPTER	org.apache.commons.lang.exception.NestableDelegate	2	28	3	1	1	29	4	29	14	3	6	0	0.9	0.5	0.88	0.67	1	28	1	0	0	0	0	4	0	0	0	0	0	0	0	0	13	0	0	0	0	0.0	1	0.25	0	0.0	1	0.25	0	0.0	1	0.25	0	0.0	1	0.25	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	3	0	0	3	0	0	5	2	1	8	0	0	
commons-lang	3	OBJECT_ADAPTER	org.apache.commons.lang.exception.NestableDelegate	2	28	3	1	1	29	4	30	14	3	6	0	0.9	0.5	0.88	0.67	1	25	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	3	0	0	3	0	0	3	0	2	7	0	1	
commons-lang	4	OBJECT_ADAPTER	org.apache.commons.lang.exception.NestableDelegate	2	28	3	1	1	29	4	30	14	3	6	0	0.9	0.5	0.88	0.67	1	25	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	3	0	0	3	0	0	3	0	0	7	0	0	
commons-lang	5	OBJECT_ADAPTER	org.apache.commons.lang.exception.NestableDelegate	2	28	3	1	1	29	4	30	14	3	6	0	0.9	0.5	0.88	0.67	1	25	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	3	0	0	3	0	0	3	0	0	7	0	0	
commons-lang	6	OBJECT_ADAPTER	org.apache.commons.lang.exception.NestableDelegate	2	28	3	1	1	29	4	30	14	3	6	0	0.9	0.5	0.88	0.67	1	25	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	3	0	0	3	0	0	3	0	0	7	0	0	
commons-lang	7	OBJECT_ADAPTER	org.apache.commons.lang.exception.NestableDelegate	2	28	3	1	1	29	4	30	14	3	6	0	0.9	0.5	0.88	0.67	1	25	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	3	0	0	3	0	0	3	0	0	7	0	0	
commons-lang	0	SINGLETON	org.apache.commons.lang.builder.ToStringStyle	1	1	5	0	1	1	6	120	6	2	13	1	0.17	0	0.14	0.87	16	58	0	0	0	2	2	0	1	1	0	0	0	0	13	13	0	0	0	0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	58	0	0	0	0	
commons-lang	1	SINGLETON	org.apache.commons.lang.builder.ToStringStyle	1	1	5	0	1	1	6	132	6	3	13	1	0.17	0	0.14	0.81	17	66	0	0	0	2	0	0	1	0	0	1	1	0	13	0	0	0	0	0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	64	6	2	0	0	0	
