Project_ID	Software_Version	Pattern_Type	Pattern_ID	Num_Participating_Classes	Num_Conforming_Structural_Roles	Num_NonConforming_Structural_Roles	Num_Conforming_Behavioral_Roles	Num_NonConforming_Behavioral_Roles	Num_Conforming_Roles_Total	Num_NonConforming_Roles_Total	SSize2	Pattern_Members	Afferent_Coupling	Efferent_Coupling	Coupling_Between_Pattern_Classes	Pattern_Structural_Integrity	Pattern_Behavioral_Integrity	Pattern_Integrity	Pattern_Instability	Pattern_Structural_Aberrations	Pattern_Behavioral_Aberrations	MG-PEA grime count	MG-PEA grime additions	MG-PEA grime removals	MG-PEE grime count	MG-PEE grime additions	MG-PEE grime removals	MG-PI grime count	MG-PI grime additions	MG-PI grime removals	MG-TEA grime count	MG-TEA grime additions	MG-TEA grime removals	MG-TEE grime count	MG-TEE grime additions	MG-TEE grime removals	MG-TI grime count	MG-TI grime additions	MG-TI grime removals	CG-DIP grime count (across all pattern classes)	CG-DIP grime average (across all pattern classes)	CG-DIS grime count (across all pattern classes)	CG-DIS grime average (across all pattern classes)	CG-DEP grime count (across all pattern classes)	CG-DEP grime average (across all pattern classes)	CG-DES grime count (across all pattern classes)	CG-DES grime average (across all pattern classes)	CG-IIP grime count (across all pattern classes)	CG-IIP grime average (across all pattern classes)	CG-IIS grime count (across all pattern classes)	CG-IIS grime average (across all pattern classes)	CG-IEP grime count (across all pattern classes)	CG-IEP grime average (across all pattern classes)	CG-IES grime count (across all pattern classes)	CG-IES grime average (across all pattern classes)	OG-PEA grime count	OG-PEA grime additions	OG-PEA grime removals	OG-PI grime count	OG-PI grime additions	OG-PI grime removals	OG-TEA grime count	OG-TEA grime additions	OG-TEA grime removals	OG-TI grime count	OG-TI grime additions	OG-TI grime removals	RG-PEA grime count	RG-PEA grime additions	RG-PEA grime removals	RG-PEE grime count	RG-PEE grime additions	RG-PEE grime removals	RG-PI grime count	RG-PI grime additions	RG-PI grime removals	RG-TEA grime count	RG-TEA grime additions	RG-TEA grime removals	RG-TEE grime count	RG-TEE grime additions	RG-TEE grime removals	RG-TI grime count	RG-TI grime additions	RG-TI grime removals	
glide	0	OBJECT_ADAPTER	com.bumptech.glide.manager.RequestTracker	2	8	3	1	1	9	4	13	7	14	11	0	0.73	0.5	0.69	0.44	20	13	8	8	0	3	3	0	0	0	0	6	6	0	3	3	0	0	0	0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	2	2	0	3	3	0	6	6	0	0	0	0	
glide	1	OBJECT_ADAPTER	com.bumptech.glide.manager.RequestTracker	2	8	3	1	1	9	4	13	7	10	12	0	0.73	0.5	0.69	0.55	17	14	4	0	4	3	0	0	0	0	0	6	1	1	4	1	0	0	0	0	1	0.3333333333333333	1	0.3333333333333333	0	0.0	1	0.3333333333333333	1	0.3333333333333333	1	0.3333333333333333	0	0.0	1	0.3333333333333333	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	3	0	0	7	4	3	0	0	0	
glide	2	OBJECT_ADAPTER	com.bumptech.glide.manager.RequestTracker	2	8	3	1	1	9	4	14	7	10	12	0	0.73	0.5	0.69	0.55	17	14	4	1	1	3	0	0	0	0	0	6	1	1	4	0	0	0	0	0	2	0.6666666666666666	0	0.0	1	0.3333333333333333	0	0.0	2	0.6666666666666666	0	0.0	1	0.3333333333333333	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	3	0	0	7	0	0	0	0	0	
glide	3	OBJECT_ADAPTER	com.bumptech.glide.manager.RequestTracker	2	8	3	1	1	9	4	15	7	10	12	0	0.73	0.5	0.69	0.55	17	14	4	1	1	3	0	0	0	0	0	6	1	1	4	0	0	0	0	0	0	0.0	2	0.6666666666666666	0	0.0	1	0.3333333333333333	0	0.0	2	0.6666666666666666	0	0.0	1	0.3333333333333333	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	3	0	0	7	0	0	0	0	0	
glide	4	OBJECT_ADAPTER	com.bumptech.glide.manager.RequestTracker	2	12	3	1	1	13	4	14	9	12	13	0	0.8	0.5	0.76	0.52	21	18	4	1	1	4	1	0	0	0	0	8	3	1	4	0	0	1	1	0	0	0.0	2	0.6666666666666666	0	0.0	1	0.3333333333333333	0	0.0	2	0.6666666666666666	0	0.0	1	0.3333333333333333	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	3	0	0	7	0	0	4	4	0	
glide	5	OBJECT_ADAPTER	com.bumptech.glide.manager.RequestTracker	2	12	3	1	1	13	4	14	9	12	13	0	0.8	0.5	0.76	0.52	21	18	4	0	0	4	0	0	0	0	0	8	1	1	4	0	0	1	0	0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	3	0	0	7	0	0	4	0	0	
glide	6	OBJECT_ADAPTER	com.bumptech.glide.manager.RequestTracker	2	12	3	1	1	13	4	14	9	12	13	0	0.8	0.5	0.76	0.52	21	18	4	0	0	4	0	0	0	0	0	8	1	1	4	0	0	1	0	0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	3	0	0	7	0	0	4	0	0	
glide	7	OBJECT_ADAPTER	com.bumptech.glide.manager.RequestTracker	2	12	3	1	1	13	4	14	9	12	13	0	0.8	0.5	0.76	0.52	21	18	4	1	1	4	0	0	0	0	0	8	1	1	4	0	0	1	0	0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	3	0	0	7	0	0	4	0	0	
glide	8	OBJECT_ADAPTER	com.bumptech.glide.manager.RequestTracker	2	22	3	1	1	23	4	15	14	16	13	0	0.88	0.5	0.85	0.45	29	26	8	4	0	7	3	0	0	0	0	9	2	1	4	3	3	1	0	0	1	0.3333333333333333	1	0.3333333333333333	1	0.3333333333333333	0	0.0	1	0.3333333333333333	1	0.3333333333333333	1	0.3333333333333333	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	3	0	3	1	0	4	1	0	8	1	0	6	2	0	
glide	9	OBJECT_ADAPTER	com.bumptech.glide.manager.RequestTracker	2	22	3	1	1	23	4	15	14	16	13	0	0.88	0.5	0.85	0.45	29	27	8	1	1	7	0	0	0	0	0	9	1	1	4	0	0	1	0	0	1	0.3333333333333333	0	0.0	0	0.0	0	0.0	1	0.3333333333333333	0	0.0	0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	4	1	0	3	0	0	4	0	0	8	0	0	6	0	0	
glide	10	OBJECT_ADAPTER	com.bumptech.glide.manager.RequestTracker	2	22	3	1	1	23	4	15	14	16	13	0	0.88	0.5	0.85	0.45	29	27	8	1	1	7	0	0	0	0	0	9	1	1	4	0	0	1	0	0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	4	0	0	3	0	0	4	0	0	8	0	0	6	0	0	
glide	11	OBJECT_ADAPTER	com.bumptech.glide.manager.RequestTracker	2	22	3	1	1	23	4	15	14	16	13	0	0.88	0.5	0.85	0.45	29	27	8	1	1	7	0	0	0	0	0	9	1	1	4	0	0	1	0	0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	4	0	0	3	0	0	4	0	0	8	0	0	6	0	0	
glide	12	OBJECT_ADAPTER	com.bumptech.glide.manager.RequestTracker	2	22	3	1	1	23	4	15	14	16	13	0	0.88	0.5	0.85	0.45	29	27	8	0	0	7	0	0	0	0	0	9	1	1	4	0	0	1	0	0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	4	0	0	3	0	0	4	0	0	8	0	0	6	0	0	
glide	13	OBJECT_ADAPTER	com.bumptech.glide.manager.RequestTracker	2	22	3	1	1	23	4	16	14	16	15	0	0.88	0.5	0.85	0.48	29	28	8	1	1	7	0	0	0	0	0	9	1	1	4	0	0	1	0	0	2	0.6666666666666666	0	0.0	1	0.3333333333333333	0	0.0	2	0.6666666666666666	0	0.0	1	0.3333333333333333	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	4	0	0	3	0	0	4	0	0	9	1	0	6	0	0	
glide	14	OBJECT_ADAPTER	com.bumptech.glide.manager.RequestTracker	2	24	3	1	1	25	4	17	15	16	15	0	0.89	0.5	0.86	0.48	29	31	8	1	1	7	0	0	0	0	0	9	0	0	4	0	0	1	0	0	2	0.6666666666666666	1	0.3333333333333333	1	0.3333333333333333	1	0.3333333333333333	2	0.6666666666666666	1	0.3333333333333333	1	0.3333333333333333	1	0.3333333333333333	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	4	0	0	4	1	0	4	0	0	11	1	0	6	0	0	
glide	15	OBJECT_ADAPTER	com.bumptech.glide.manager.RequestTracker	2	24	3	1	1	25	4	17	15	16	15	0	0.89	0.5	0.86	0.48	29	31	8	1	1	7	0	0	0	0	0	9	1	1	4	0	0	1	0	0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	4	0	0	4	0	0	4	0	0	11	0	0	6	0	0	
glide	16	OBJECT_ADAPTER	com.bumptech.glide.manager.RequestTracker	2	24	3	1	1	25	4	18	15	16	14	0	0.89	0.5	0.86	0.47	29	31	8	1	1	7	0	0	0	0	0	9	1	1	4	0	0	1	0	0	0	0.0	1	0.3333333333333333	0	0.0	0	0.0	0	0.0	1	0.3333333333333333	0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	4	0	0	4	0	0	4	0	0	11	0	0	6	0	0	
glide	17	OBJECT_ADAPTER	com.bumptech.glide.manager.RequestTracker	2	24	3	1	1	25	4	18	15	16	14	0	0.89	0.5	0.86	0.47	29	31	8	1	1	7	0	0	0	0	0	9	1	1	4	0	0	1	0	0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	4	0	0	4	0	0	4	0	0	11	0	0	6	0	0	
glide	18	OBJECT_ADAPTER	com.bumptech.glide.manager.RequestTracker	2	24	3	1	1	25	4	18	15	16	14	0	0.89	0.5	0.86	0.47	29	31	8	1	1	7	0	0	0	0	0	9	1	1	4	0	0	1	0	0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	4	0	0	4	0	0	4	0	0	11	5	5	6	0	0	
glide	19	OBJECT_ADAPTER	com.bumptech.glide.manager.RequestTracker	2	28	3	1	1	29	4	18	17	16	14	0	0.9	0.5	0.88	0.47	29	32	8	1	1	7	0	0	0	0	0	9	1	1	4	0	0	1	0	0	1	0.3333333333333333	0	0.0	0	0.0	0	0.0	1	0.3333333333333333	0	0.0	0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	4	0	0	4	0	0	5	1	0	11	0	0	6	0	0	
glide	0	OBJECT_ADAPTER	com.bumptech.glide.load.DecodeFormat	2	4	3	1	1	5	4	2	4	7	4	0	0.57	0.5	0.56	0.36	8	5	2	2	0	2	2	0	0	0	0	4	4	0	0	0	0	0	0	0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	0	1	1	0	0	0	0	0	0	0	0	0	0	
glide	1	OBJECT_ADAPTER	com.bumptech.glide.load.DecodeFormat	2	4	3	1	1	5	4	3	4	9	4	1	0.57	0.5	0.56	0.31	13	5	5	4	1	2	0	0	1	1	0	5	3	2	0	0	0	0	0	0	1	0.5	0	0.0	0	0.0	0	0.0	1	0.5	0	0.0	0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
glide	2	OBJECT_ADAPTER	com.bumptech.glide.load.DecodeFormat	2	4	3	1	1	5	4	4	4	9	5	1	0.57	0.5	0.56	0.36	13	5	5	1	1	2	0	0	1	0	0	5	1	1	0	0	0	0	0	0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
glide	3	OBJECT_ADAPTER	com.bumptech.glide.load.DecodeFormat	2	4	3	1	1	5	4	4	4	9	4	1	0.57	0.5	0.56	0.31	13	5	5	1	1	2	0	0	1	0	0	5	1	1	0	0	0	0	0	0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
glide	4	OBJECT_ADAPTER	com.bumptech.glide.load.DecodeFormat	2	4	3	1	1	5	4	4	4	9	4	1	0.57	0.5	0.56	0.31	13	5	5	1	1	2	0	0	1	0	0	5	1	1	0	0	0	0	0	0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
glide	5	OBJECT_ADAPTER	com.bumptech.glide.load.DecodeFormat	2	4	3	1	1	5	4	4	4	9	4	1	0.57	0.5	0.56	0.31	13	5	5	1	1	2	0	0	1	0	0	5	1	1	0	0	0	0	0	0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
