Project_ID	Software_Version	Pattern_Type	Pattern_ID	Num_Participating_Classes	Num_Conforming_Structural_Roles	Num_NonConforming_Structural_Roles	Num_Conforming_Behavioral_Roles	Num_NonConforming_Behavioral_Roles	Num_Conforming_Roles_Total	Num_NonConforming_Roles_Total	SSize2	Pattern_Members	Afferent_Coupling	Efferent_Coupling	Coupling_Between_Pattern_Classes	Pattern_Structural_Integrity	Pattern_Behavioral_Integrity	Pattern_Integrity	Pattern_Instability	Pattern_Structural_Aberrations	Pattern_Behavioral_Aberrations	MG-PEA grime count	MG-PEA grime additions	MG-PEA grime removals	MG-PEE grime count	MG-PEE grime additions	MG-PEE grime removals	MG-PI grime count	MG-PI grime additions	MG-PI grime removals	MG-TEA grime count	MG-TEA grime additions	MG-TEA grime removals	MG-TEE grime count	MG-TEE grime additions	MG-TEE grime removals	MG-TI grime count	MG-TI grime additions	MG-TI grime removals	CG-DIP grime count (across all pattern classes)	CG-DIP grime average (across all pattern classes)	CG-DIS grime count (across all pattern classes)	CG-DIS grime average (across all pattern classes)	CG-DEP grime count (across all pattern classes)	CG-DEP grime average (across all pattern classes)	CG-DES grime count (across all pattern classes)	CG-DES grime average (across all pattern classes)	CG-IIP grime count (across all pattern classes)	CG-IIP grime average (across all pattern classes)	CG-IIS grime count (across all pattern classes)	CG-IIS grime average (across all pattern classes)	CG-IEP grime count (across all pattern classes)	CG-IEP grime average (across all pattern classes)	CG-IES grime count (across all pattern classes)	CG-IES grime average (across all pattern classes)	OG-PEA grime count	OG-PEA grime additions	OG-PEA grime removals	OG-PI grime count	OG-PI grime additions	OG-PI grime removals	OG-TEA grime count	OG-TEA grime additions	OG-TEA grime removals	OG-TI grime count	OG-TI grime additions	OG-TI grime removals	RG-PEA grime count	RG-PEA grime additions	RG-PEA grime removals	RG-PEE grime count	RG-PEE grime additions	RG-PEE grime removals	RG-PI grime count	RG-PI grime additions	RG-PI grime removals	RG-TEA grime count	RG-TEA grime additions	RG-TEA grime removals	RG-TEE grime count	RG-TEE grime additions	RG-TEE grime removals	RG-TI grime count	RG-TI grime additions	RG-TI grime removals	
netty	0	STATE	io.netty.channel.DefaultChannelPipeline	7	5	3	1	1	6	4	124	9	38	22	1	0.62	0.5	0.6	0.37	54	73	33	33	0	3	3	0	0	0	0	4	4	0	14	14	0	0	0	0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	70	70	0	0	0	0	
netty	1	STATE	io.netty.channel.DefaultChannelPipeline	8	7	3	1	1	8	4	154	12	83	24	1	0.7	0.5	0.67	0.22	103	65	75	44	2	5	3	1	0	0	0	7	3	0	16	3	1	0	0	0	1	0.125	1	0.125	1	0.125	0	0.0	1	0.125	1	0.125	1	0.125	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	3	0	0	0	0	0	0	63	4	6	0	0	0	
netty	2	STATE	io.netty.channel.DefaultChannelPipeline	8	7	3	1	1	8	4	153	12	87	24	1	0.7	0.5	0.67	0.22	107	65	79	5	1	5	0	0	0	0	0	7	1	1	16	0	0	0	0	0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	65	2	0	0	0	0	
netty	3	STATE	io.netty.channel.DefaultChannelPipeline	8	7	3	1	1	8	4	155	12	88	25	1	0.7	0.5	0.67	0.22	108	65	80	1	0	5	0	0	0	0	0	7	1	1	16	0	0	0	0	0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	63	1	3	0	0	0	
netty	4	STATE	io.netty.channel.DefaultChannelPipeline	8	7	3	1	1	8	4	155	12	90	25	1	0.7	0.5	0.67	0.22	111	65	81	4	3	5	0	0	0	0	0	9	2	0	16	0	0	0	0	0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	63	0	0	0	0	0	
netty	5	STATE	io.netty.channel.DefaultChannelPipeline	8	7	3	1	1	8	4	155	12	92	25	1	0.7	0.5	0.67	0.21	113	65	82	2	1	5	0	0	0	0	0	10	2	1	16	0	0	0	0	0	0	0.0	1	0.125	0	0.0	0	0.0	0	0.0	1	0.125	0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	65	2	0	0	0	0	
netty	6	STATE	io.netty.channel.DefaultChannelPipeline	8	7	3	1	1	8	4	155	12	96	25	1	0.7	0.5	0.67	0.21	117	65	86	8	4	5	0	0	0	0	0	10	1	1	16	0	0	0	0	0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	
netty	7	STATE	io.netty.channel.DefaultChannelPipeline	8	7	3	1	1	8	4	155	12	98	25	1	0.7	0.5	0.67	0.2	119	65	88	3	1	5	0	0	0	0	0	10	1	1	16	0	0	0	0	0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	63	0	2	0	0	0	
netty	8	STATE	io.netty.channel.DefaultChannelPipeline	8	7	3	1	1	8	4	156	12	101	25	1	0.7	0.5	0.67	0.2	123	65	91	4	1	5	0	0	0	0	0	11	2	1	16	0	0	0	0	0	0	0.0	1	0.125	0	0.0	0	0.0	0	0.0	1	0.125	0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	65	2	0	0	0	0	
netty	9	STATE	io.netty.channel.DefaultChannelPipeline	8	7	3	1	1	8	4	158	12	103	26	1	0.7	0.5	0.67	0.2	128	65	93	4	2	5	0	0	0	0	0	13	2	0	17	1	0	0	0	0	1	0.125	1	0.125	0	0.0	0	0.0	1	0.125	1	0.125	0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	
