Project_ID	Software_Version	Pattern_Type	Pattern_ID	Num_Participating_Classes	Num_Conforming_Structural_Roles	Num_NonConforming_Structural_Roles	Num_Conforming_Behavioral_Roles	Num_NonConforming_Behavioral_Roles	Num_Conforming_Roles_Total	Num_NonConforming_Roles_Total	SSize2	Pattern_Members	Afferent_Coupling	Efferent_Coupling	Coupling_Between_Pattern_Classes	Pattern_Structural_Integrity	Pattern_Behavioral_Integrity	Pattern_Integrity	Pattern_Instability	Pattern_Structural_Aberrations	Pattern_Behavioral_Aberrations	MG-PEA grime count	MG-PEA grime additions	MG-PEA grime removals	MG-PEE grime count	MG-PEE grime additions	MG-PEE grime removals	MG-PI grime count	MG-PI grime additions	MG-PI grime removals	MG-TEA grime count	MG-TEA grime additions	MG-TEA grime removals	MG-TEE grime count	MG-TEE grime additions	MG-TEE grime removals	MG-TI grime count	MG-TI grime additions	MG-TI grime removals	CG-DIP grime count (across all pattern classes)	CG-DIP grime average (across all pattern classes)	CG-DIS grime count (across all pattern classes)	CG-DIS grime average (across all pattern classes)	CG-DEP grime count (across all pattern classes)	CG-DEP grime average (across all pattern classes)	CG-DES grime count (across all pattern classes)	CG-DES grime average (across all pattern classes)	CG-IIP grime count (across all pattern classes)	CG-IIP grime average (across all pattern classes)	CG-IIS grime count (across all pattern classes)	CG-IIS grime average (across all pattern classes)	CG-IEP grime count (across all pattern classes)	CG-IEP grime average (across all pattern classes)	CG-IES grime count (across all pattern classes)	CG-IES grime average (across all pattern classes)	OG-PEA grime count	OG-PEA grime additions	OG-PEA grime removals	OG-PI grime count	OG-PI grime additions	OG-PI grime removals	OG-TEA grime count	OG-TEA grime additions	OG-TEA grime removals	OG-TI grime count	OG-TI grime additions	OG-TI grime removals	RG-PEA grime count	RG-PEA grime additions	RG-PEA grime removals	RG-PEE grime count	RG-PEE grime additions	RG-PEE grime removals	RG-PI grime count	RG-PI grime additions	RG-PI grime removals	RG-TEA grime count	RG-TEA grime additions	RG-TEA grime removals	RG-TEE grime count	RG-TEE grime additions	RG-TEE grime removals	RG-TI grime count	RG-TI grime additions	RG-TI grime removals	
selenium	0	OBJECT_ADAPTER	org.openqa.selenium.firefox.FirefoxBinary	2	6	3	1	1	7	4	30	6	3	19	0	0.67	0.5	0.64	0.86	19	11	1	1	0	7	7	0	0	0	0	3	3	0	8	8	0	0	0	0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	3	3	0	1	1	0	0	0	0	6	6	0	0	0	0	
selenium	1	OBJECT_ADAPTER	org.openqa.selenium.firefox.FirefoxBinary	2	6	3	1	1	7	4	31	6	3	19	0	0.67	0.5	0.64	0.86	19	11	1	0	0	7	0	0	0	0	0	3	0	0	8	0	0	0	0	0	1	0.3333333333333333	0	0.0	0	0.0	0	0.0	1	0.3333333333333333	0	0.0	0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	1	0	0	0	0	0	6	0	0	0	0	0	
selenium	2	OBJECT_ADAPTER	org.openqa.selenium.firefox.FirefoxBinary	2	6	3	1	1	7	4	31	6	1	19	0	0.67	0.5	0.64	0.95	16	10	0	0	1	7	0	0	0	0	0	1	0	2	8	0	0	0	0	0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	1	0	0	0	0	0	6	0	0	0	0	0	
selenium	3	OBJECT_ADAPTER	org.openqa.selenium.firefox.FirefoxBinary	2	6	3	1	1	7	4	31	6	1	19	0	0.67	0.5	0.64	0.95	16	10	0	0	0	7	0	0	0	0	0	1	0	0	8	0	0	0	0	0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	6	0	0	0	0	0	
selenium	4	OBJECT_ADAPTER	org.openqa.selenium.firefox.FirefoxBinary	2	6	3	1	1	7	4	31	6	1	19	0	0.67	0.5	0.64	0.95	16	10	0	0	0	7	0	0	0	0	0	1	0	0	8	0	0	0	0	0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	6	0	0	0	0	0	
selenium	5	OBJECT_ADAPTER	org.openqa.selenium.firefox.FirefoxBinary	2	6	3	1	1	7	4	30	6	1	19	0	0.67	0.5	0.64	0.95	16	8	0	0	0	7	0	0	0	0	0	1	0	0	8	0	0	0	0	0	1	0.3333333333333333	0	0.0	0	0.0	0	0.0	1	0.3333333333333333	0	0.0	0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	4	0	1	0	0	0	
selenium	6	OBJECT_ADAPTER	org.openqa.selenium.firefox.FirefoxBinary	2	6	3	1	1	7	4	30	6	1	19	0	0.67	0.5	0.64	0.95	16	8	0	0	0	7	0	0	0	0	0	1	0	0	8	0	0	0	0	0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	4	0	0	0	0	0	
selenium	7	OBJECT_ADAPTER	org.openqa.selenium.firefox.FirefoxBinary	2	6	3	1	1	7	4	30	6	1	19	0	0.67	0.5	0.64	0.95	16	8	0	0	0	7	0	0	0	0	0	1	0	0	8	0	0	0	0	0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	4	0	0	0	0	0	
selenium	8	OBJECT_ADAPTER	org.openqa.selenium.firefox.FirefoxBinary	2	6	3	1	1	7	4	30	6	2	19	0	0.67	0.5	0.64	0.9	17	8	0	0	0	7	0	0	0	0	0	2	2	1	8	0	0	0	0	0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	4	0	0	0	0	0	
selenium	9	OBJECT_ADAPTER	org.openqa.selenium.firefox.FirefoxBinary	2	6	3	1	1	7	4	34	6	2	20	0	0.67	0.5	0.64	0.91	18	12	0	0	0	7	0	0	0	0	0	2	0	0	9	1	0	0	0	0	2	0.6666666666666666	1	0.3333333333333333	1	0.3333333333333333	1	0.3333333333333333	2	0.6666666666666666	1	0.3333333333333333	1	0.3333333333333333	1	0.3333333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	8	5	1	0	0	0	
selenium	10	OBJECT_ADAPTER	org.openqa.selenium.firefox.FirefoxBinary	2	6	3	1	1	7	4	33	6	2	20	0	0.67	0.5	0.64	0.91	18	12	0	0	0	7	0	0	0	0	0	2	1	1	9	0	0	0	0	0	1	0.3333333333333333	0	0.0	1	0.3333333333333333	0	0.0	1	0.3333333333333333	0	0.0	1	0.3333333333333333	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	8	0	0	0	0	0	
selenium	11	OBJECT_ADAPTER	org.openqa.selenium.firefox.FirefoxBinary	2	6	3	1	1	7	4	33	6	2	20	0	0.67	0.5	0.64	0.91	19	12	1	1	0	7	0	0	0	0	0	2	1	1	9	0	0	0	0	0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	8	0	0	0	0	0	
