Project	Version	TQI	Functional_Suitability	Performance_Efficiency	Compatibility	Usability	Reliability	Security	Maintainability	Portability	Bad_Function	Comprehensibility	Redundancy	Structurdness	Assignment	Resource_Handling	Cohesion	Coupling	Complexity	Messaging	Encapsulation	Pattern_Structural_Integrity	Pattern_Behavioral_Integrity	Pattern_Instability	Pattern_Structural_Aberrations	Pattern_Behavioral_Aberrations	
elasticsearch	0	0.658940828661552	0.6822102491897657	0.6778514786011167	0.6147523428831603	0.7109206868571567	0.7058062771758259	0.6421094768465874	0.5924596060313921	0.5973484795135857	1.0	1.0	1.0	1.0	1.0	1.0	0.6737357237292136	0.06721913097206333	0.6642128950991297	0.6500112439316659	0.6139302849405714	0.17624999999999996	0.7266811279826464	0.7794591001329507	0.44881000000000004	0.0	
elasticsearch	10	0.6434334309038731	0.6653250148154315	0.6624506224263391	0.5979536834389885	0.6985706634076773	0.6879357308196122	0.6196610858106926	0.5835899937649888	0.5804164113923651	1.0	1.0	1.0	1.0	1.0	1.0	0.5409423449599928	0.0	0.5699926510614871	0.6051545091914983	0.5716579516640319	0.24958333333333332	0.7562076749435666	0.7422813660525739	0.468515	0.0	
elasticsearch	11	0.6432899042729734	0.6651582923407329	0.6622548944362436	0.5977932392226605	0.6984767466069491	0.6877704775986533	0.6194605409142866	0.5834752008813155	0.5803142476259786	1.0	1.0	1.0	1.0	1.0	1.0	0.5386103185715507	0.0	0.5695133893084486	0.6052636628178717	0.5719390568400028	0.24999999999999994	0.7556306306306306	0.7417538506248182	0.46892	0.0	
elasticsearch	12	0.6378832999257227	0.6594214511215577	0.6568243279370676	0.5912608254711932	0.6942568359535212	0.6819469909988604	0.6125210439390438	0.5795734254595322	0.5738791433023871	1.0	1.0	1.0	1.0	1.0	1.0	0.49076917358941313	0.0	0.5427604522926408	0.5862408550734001	0.5728390892151476	0.25020833333333325	0.7562076749435666	0.740697589747324	0.46602999999999994	0.0	
elasticsearch	13	0.6358647893093683	0.6573904166171293	0.6551857984154803	0.5890248510374456	0.6923058098435997	0.6798828464041656	0.6100824920125029	0.5781134150739331	0.5713984840450184	1.0	1.0	1.0	1.0	1.0	1.0	0.48227056792820017	0.0	0.5324813395647812	0.5791374199201875	0.5674284701105985	0.2543749999999999	0.7551020408163265	0.7391558774047252	0.46327	0.0	
elasticsearch	14	0.6353338983538911	0.6568462595047471	0.6547404064958893	0.5884089510217777	0.6919978893310688	0.6793178152406537	0.6094677025483747	0.5775349433129238	0.5706914840469365	1.0	1.0	1.0	1.0	1.0	1.0	0.48004939047144035	0.0	0.5291392001685189	0.5777593141577371	0.5694709760683709	0.25166666666666665	0.7557339449541285	0.7390870079905297	0.46147000000000005	0.0	
elasticsearch	15	0.6364356140837562	0.6577147352230043	0.6557100365262106	0.5901978577127189	0.6926691605626175	0.6802239231957291	0.6104020220725707	0.579056818913011	0.5727044988457564	1.0	1.0	1.0	1.0	1.0	1.0	0.48021742957498176	0.0	0.529026570912839	0.5826101169446412	0.5670056108539367	0.25145833333333334	0.7517321016166282	0.7392907695746114	0.48418500000000003	0.0	
elasticsearch	16	0.6345864096947315	0.6558810826542814	0.6540866057778124	0.5879322685497194	0.6908353071734392	0.6784253086667468	0.6080960489233519	0.5778969812598479	0.5702951726062447	1.0	1.0	1.0	1.0	1.0	1.0	0.4723120421857378	0.0	0.5215551650974903	0.5727254316406687	0.5607935931242166	0.25541666666666657	0.7534246575342466	0.7361724849020479	0.48196500000000003	0.0	
elasticsearch	17	0.6317327621906582	0.6530565745656577	0.6515719950114305	0.5844858774344509	0.6883809435506812	0.6755799811832712	0.6047627576129344	0.5754793954528894	0.5666305100281953	1.0	1.0	1.0	1.0	1.0	1.0	0.4576370557790269	0.0	0.5089636741005312	0.5627979087949853	0.5594028020238477	0.2504166666666667	0.7516778523489933	0.7391931875586354	0.47796500000000003	0.0	
elasticsearch	18	0.6319469055866065	0.6534813753869817	0.6516763988058336	0.5844376373060794	0.6884165117046451	0.6759612226877837	0.6050413726682448	0.5756648937918938	0.5666381906347584	1.0	1.0	1.0	1.0	1.0	1.0	0.46006240219842104	0.0	0.514511882183792	0.5624596000828568	0.5533953501983223	0.25312499999999993	0.753968253968254	0.7358825250530323	0.4759650000000001	0.0	
