Project	Version	TQI	Functional_Suitability	Performance_Efficiency	Compatibility	Usability	Reliability	Security	Maintainability	Portability	Bad_Function	Comprehensibility	Redundancy	Structurdness	Assignment	Resource_Handling	Cohesion	Coupling	Complexity	Messaging	Encapsulation	Pattern_Structural_Integrity	Pattern_Behavioral_Integrity	Pattern_Instability	Pattern_Structural_Aberrations	Pattern_Behavioral_Aberrations	
glide	0	0.7110288004427494	0.7444894166229834	0.7379896943665107	0.6654639922074628	0.7359704314020538	0.7551748503712746	0.6961131449114947	0.6631282548067892	0.646832736538923	1.0	1.0	1.0	1.0	1.0	1.0	0.7666391298381325	0.471849442726245	0.7155106109658526	0.6991742667716468	0.2427524689391526	0.06624999999999989	0.6086956521739131	0.7778751753155679	0.9746376811594203	0.34785	
glide	10	0.7074910523989305	0.7378778109718086	0.731480287877115	0.6607641353365278	0.7338143913881479	0.7481716336740006	0.687071654758181	0.6694216581574496	0.6441624901020921	1.0	1.0	1.0	1.0	1.0	1.0	0.6062916616383898	0.42111597337036044	0.6627829258775757	0.647946617269241	0.24020388658808528	0.156875	0.65	0.823225806451613	0.9966666666666667	0.35	
glide	11	0.705673350179473	0.7359056485068518	0.7295473725853048	0.6588859518716051	0.7327047875449819	0.7463918365849657	0.6847005049724157	0.6673934617094982	0.6424766536415575	1.0	1.0	1.0	1.0	1.0	1.0	0.6012379178302945	0.4163461309958277	0.6556922597992083	0.6455967158680189	0.24561962408410307	0.156875	0.65	0.8067741935483872	0.9966666666666667	0.35	
glide	12	0.6999102246011542	0.7304809859122531	0.7235353055403081	0.6516932096102224	0.727846144329146	0.7410376002856324	0.6784683318613499	0.6612737107637121	0.6356876212956836	1.0	1.0	1.0	1.0	1.0	1.0	0.5656192810535958	0.41558567214038616	0.6498712751640073	0.6398994066196285	0.23972602739726023	0.15937499999999996	0.6372549019607843	0.8036053130929792	0.9738562091503268	0.34315	
glide	13	0.6893599623835774	0.720416974857781	0.7131487220003273	0.6392594987179091	0.7189755117737643	0.7316015520581899	0.6669343993456923	0.6496686155498284	0.6233881124381278	1.0	1.0	1.0	1.0	1.0	1.0	0.5284302017695515	0.41451118451651453	0.6322816997088567	0.6230719182134966	0.23558458107677593	0.12395833333333336	0.6203703703703703	0.7907706093189963	0.9722222222222222	0.324075	
glide	14	0.6878354477116388	0.7192734708378823	0.7118904063476462	0.6372956665056266	0.7177187825574102	0.7302882061998752	0.6653659113386166	0.6476639401190383	0.621179294076108	1.0	1.0	1.0	1.0	1.0	1.0	0.5293111973252709	0.4055520286258441	0.6308433532876412	0.6233161869833799	0.2292131251991079	0.12270833333333327	0.6203703703703703	0.7907706093189963	0.9629629629629629	0.324075	
glide	15	0.686906737791145	0.7186379483281811	0.7114996627412989	0.6361079146805656	0.7169742350558843	0.729425211593407	0.665098982894306	0.6460334621186703	0.6192453280922308	1.0	1.0	1.0	1.0	1.0	1.0	0.5314771888935532	0.40614443965385544	0.6311747541947685	0.6248638330425746	0.22714240203886582	0.12499999999999992	0.6226415094339622	0.8050821667681072	0.9339622641509434	0.31605	
glide	16	0.6873654385791276	0.7191171955856603	0.7120172252650648	0.6367404698784948	0.7174330611948402	0.7297855475252245	0.6656680594929792	0.6463301213989372	0.6197846651293352	1.0	1.0	1.0	1.0	1.0	1.0	0.5330877875714044	0.4055061974001813	0.6314818269435525	0.6285650034968362	0.22714240203886582	0.12499999999999992	0.6226415094339622	0.8073645769933049	0.9339622641509434	0.31605	
glide	17	0.6873654385791276	0.7191171955856603	0.7120172252650648	0.6367404698784948	0.7174330611948402	0.7297855475252245	0.6656680594929792	0.6463301213989372	0.6197846651293352	1.0	1.0	1.0	1.0	1.0	1.0	0.5330877875714044	0.4055061974001813	0.6314818269435525	0.6285650034968362	0.22714240203886582	0.12499999999999992	0.6226415094339622	0.8073645769933049	0.9339622641509434	0.31605	
glide	18	0.6864582243987394	0.71824105499372	0.7109486903185201	0.6352926107969297	0.7168581194113982	0.7287343196330875	0.6643807610403432	0.6457927510381531	0.6185195509795312	1.0	1.0	1.0	1.0	1.0	1.0	0.5183344695003742	0.40434174477778645	0.6269421287041583	0.6250204786273246	0.2273016884358075	0.12583333333333316	0.6226415094339622	0.8088861838101035	0.9308176100628931	0.32077500000000003	
glide	19	0.6992755232754769	0.7319589700199967	0.7269461045444319	0.6524584358779485	0.7264569982298215	0.742054473748601	0.6813167529025173	0.6545703686587229	0.633027364621475	1.0	1.0	1.0	1.0	1.0	1.0	0.6772498403560543	0.40669101945620406	0.6554582001874364	0.6723517468051297	0.22746097483274919	0.11479166666666654	0.6153846153846154	0.8193238213399504	0.9326923076923077	0.33655	
glide	1	0.7127889751773505	0.7440182388980127	0.7387342392964126	0.667998785944698	0.7394000564402644	0.7552294934945827	0.6963034592455919	0.6675176399986171	0.6501016730735767	1.0	1.0	1.0	1.0	1.0	1.0	0.7386182876571201	0.47789407215532376	0.6889688906756654	0.6780359534603533	0.2921312519910798	0.11874999999999991	0.6339285714285714	0.748991935483871	0.9404761904761905	0.361625	
glide	2	0.711723480849999	0.7433764484489414	0.7379126565282511	0.6666304374348141	0.7384268627345714	0.754433181009271	0.6953887024442904	0.6658000061235602	0.648505996587552	1.0	1.0	1.0	1.0	1.0	1.0	0.7414481661905351	0.4738184879769418	0.6903908290135494	0.680984184659188	0.28528193692258674	0.11083333333333319	0.631578947368421	0.750848896434635	0.9385964912280702	0.35965	
glide	3	0.7120933613064334	0.7438651238478039	0.7384341372013465	0.6670878510249706	0.7386395133832461	0.7547926968763077	0.6959120531645018	0.6660564568863404	0.6488018209376064	1.0	1.0	1.0	1.0	1.0	1.0	0.7448600193592761	0.47584015426451065	0.6915328754531727	0.683457027313388	0.281936922586811	0.11083333333333319	0.631578947368421	0.7515563101301641	0.9385964912280702	0.35965	
