Project	Version	TQI	Functional_Suitability	Performance_Efficiency	Compatibility	Usability	Reliability	Security	Maintainability	Portability	Bad_Function	Comprehensibility	Redundancy	Structurdness	Assignment	Resource_Handling	Cohesion	Coupling	Complexity	Messaging	Encapsulation	Pattern_Structural_Integrity	Pattern_Behavioral_Integrity	Pattern_Instability	Pattern_Structural_Aberrations	Pattern_Behavioral_Aberrations	
mockito	0	0.6722486827641725	0.6881173430457971	0.6957159548407973	0.6382628832306924	0.7095872481317331	0.7141804998913529	0.6498742485751059	0.6323242561471283	0.6189134223967467	1.0	1.0	1.0	1.0	1.0	1.0	0.6231331582882096	0.4123061933262946	0.5322595172880651	0.5060757989993985	0.5383848658281614	0.17812499999999998	0.7196969696969697	0.7178641251221896	0.8838383838383839	0.0	
mockito	10	0.7035371432858493	0.7280252238074493	0.7165209456996049	0.6477611722177775	0.7422187417564179	0.7461246976007104	0.6814321355497447	0.6623221685125462	0.643377294961452	1.0	1.0	1.0	1.0	1.0	1.0	0.4760420871792344	0.42867133579350825	0.6659086110134569	0.5299071078569797	0.6325972039668195	0.006041666666666465	0.6071428571428572	0.8166762672811059	0.8660714285714286	0.4509	
mockito	11	0.7045680615914094	0.7290721964346659	0.7175794360587532	0.6490443619906873	0.7431267717994199	0.7468908358249468	0.6823304780529174	0.663632230095835	0.6444901829294887	1.0	1.0	1.0	1.0	1.0	1.0	0.47786612655223576	0.4288461734321477	0.666145339532896	0.5329532600842308	0.6262622780751379	0.014791666666666661	0.6140350877192983	0.8108375778155065	0.868421052631579	0.451775	
mockito	12	0.703885372838271	0.7285785112850421	0.7172655428264954	0.6482134313300849	0.7429385589213291	0.746117626862464	0.6823861988225499	0.6620430977720401	0.6428286571960157	1.0	1.0	1.0	1.0	1.0	1.0	0.47858241863812906	0.4269772778967881	0.6684895605229768	0.5372130958746801	0.6262842361507257	0.026458333333333202	0.6226415094339622	0.8231892878880097	0.8270440251572327	0.4387	
mockito	13	0.7031305998826777	0.7278031279253716	0.7164862375189937	0.64747934097795	0.7423675690394378	0.7454755889082438	0.6816346233820101	0.6610209019011343	0.6420738200792948	1.0	1.0	1.0	1.0	1.0	1.0	0.47897113610030806	0.422268543823139	0.6687152862663948	0.5374231164291163	0.6269910638567862	0.026458333333333202	0.6226415094339622	0.82288496652465	0.8238993710691824	0.433975	
mockito	14	0.6961531734898554	0.724291120612656	0.7122741067500726	0.6380224680284838	0.7326811505922632	0.7399718379297109	0.6746523820813839	0.6542442261843018	0.630547441230892	1.0	1.0	1.0	1.0	1.0	1.0	0.47948749027480425	0.4224926075930459	0.6692527482221068	0.5383458974699307	0.5132732753918527	0.007291666666666559	0.603448275862069	0.8374582869855395	0.8505747126436782	0.43535	
mockito	15	0.6967968368457218	0.7251402667447889	0.7126946354246387	0.6386175279552061	0.7337973563474038	0.7404426509810169	0.6752004111861404	0.6543378074885634	0.6311379344044484	1.0	1.0	1.0	1.0	1.0	1.0	0.47839492499507613	0.42352805380246406	0.6719739503538102	0.5461569750734377	0.5114273340905682	0.007083333333333249	0.6101694915254237	0.8247676325861126	0.8502824858757063	0.43645	
mockito	16	0.6956948122916903	0.7243339831027731	0.7118491486389747	0.637103721169511	0.7329720585250811	0.739492429297525	0.6742934824026345	0.6526874432293843	0.6293600174402251	1.0	1.0	1.0	1.0	1.0	1.0	0.4794433546030768	0.42127383648097666	0.6717476619598819	0.5464531827742692	0.5094692552565099	0.010624999999999989	0.6101694915254237	0.8243575724439585	0.8305084745762712	0.43645	
mockito	17	0.6958601464314557	0.7244594080079478	0.7119719989063356	0.6373476213026672	0.7330975481710409	0.7396391068200977	0.674450227861425	0.6528916291202128	0.6296479868140531	1.0	1.0	1.0	1.0	1.0	1.0	0.47998721061061367	0.42019425649869807	0.6723165756625615	0.5470038169698458	0.5094447250447702	0.013124999999999946	0.6101694915254237	0.823810825587753	0.8305084745762712	0.43645	
mockito	18	0.6942438468828623	0.7238672886603327	0.710878816910969	0.635561623699307	0.7319250643082019	0.73837441858202	0.6735157125556268	0.6491026607177041	0.6269447963161512	1.0	1.0	1.0	1.0	1.0	1.0	0.48977923204263035	0.41273734633808506	0.6812816524941466	0.5656741467608961	0.48821280662631417	0.011874999999999853	0.6140350877192983	0.8186191284663271	0.8099415204678363	0.421075	
mockito	19	0.693583785777739	0.7233036809357298	0.7102284556285773	0.6346021732677718	0.731596623203381	0.7378398499123606	0.6729686325522247	0.6480100769980888	0.6259599303790084	1.0	1.0	1.0	1.0	1.0	1.0	0.4896922051260098	0.4127831775637478	0.6815721844614419	0.5648661527952432	0.4920356801529149	0.010624999999999989	0.6140350877192983	0.8167798528579513	0.7982456140350878	0.421075	
mockito	1	0.6659005577261862	0.6833930146688272	0.6893176343153253	0.6292849252499246	0.7041436953295959	0.7098372495578672	0.6447914878557898	0.6221918838640601	0.6106840370666315	1.0	1.0	1.0	1.0	1.0	1.0	0.6145177466281792	0.4104406926965396	0.5469849963827071	0.5113673064408479	0.5452769005947213	0.1110416666666665	0.6764705882352942	0.7425996204933585	0.8686274509803922	0.0	
mockito	2	0.6594291401107514	0.6782343436318253	0.6831041018997207	0.6199729989604252	0.6986729770019243	0.7043480221563706	0.6388775374497264	0.6140177025540499	0.6013534600537085	1.0	1.0	1.0	1.0	1.0	1.0	0.5840075420094429	0.4092711477157378	0.5481197521560341	0.5059916422864674	0.5393071256373216	0.08854166666666666	0.65625	0.7683131720430109	0.8211805555555556	0.0	
mockito	3	0.657973504703191	0.6768107961446708	0.6813702867959164	0.6180751354587916	0.697330808722141	0.7031397950977678	0.6371777396486549	0.6126163999680801	0.5999038647369345	1.0	1.0	1.0	1.0	1.0	1.0	0.5726831246926156	0.40926945026293543	0.547278247099837	0.5025122879389105	0.5407001075771136	0.07520833333333317	0.6479591836734694	0.7716425279789336	0.8333333333333334	0.0	
mockito	4	0.7041172583425468	0.7292419983959031	0.7177116936187631	0.6483624769688637	0.7427783307798519	0.7470193709831416	0.6835815869701872	0.660765904371895	0.6433280814900675	1.0	1.0	1.0	1.0	1.0	1.0	0.49182258090475134	0.44673393106304676	0.6765562861901467	0.5454005866658929	0.6346499190809329	0.0	0.5980392156862745	0.8224225173940543	0.8333333333333334	0.4461	
mockito	5	0.7041172583425468	0.7292419983959031	0.7177116936187631	0.6483624769688637	0.7427783307798519	0.7470193709831416	0.6835815869701872	0.660765904371895	0.6433280814900675	1.0	1.0	1.0	1.0	1.0	1.0	0.49182258090475134	0.44673393106304676	0.6765562861901467	0.5454005866658929	0.6346499190809329	0.0	0.5980392156862745	0.8224225173940543	0.8333333333333334	0.4461	
mockito	6	0.7042464440028804	0.7291066654266206	0.7174901769931805	0.6484141950565528	0.7430955071646275	0.7469147518906124	0.6830808050055834	0.6617451991117616	0.6435539345074882	1.0	1.0	1.0	1.0	1.0	1.0	0.4839479308583176	0.44232904104101384	0.6733732573374296	0.5391353040343738	0.6344217429206136	0.0033333333333331987	0.607843137254902	0.8175205566097404	0.8431372549019608	0.4461	
