Project	Version	TQI	Functional_Suitability	Performance_Efficiency	Compatibility	Usability	Reliability	Security	Maintainability	Portability	Bad_Function	Comprehensibility	Redundancy	Structurdness	Assignment	Resource_Handling	Cohesion	Coupling	Complexity	Messaging	Encapsulation	Pattern_Structural_Integrity	Pattern_Behavioral_Integrity	Pattern_Instability	Pattern_Structural_Aberrations	Pattern_Behavioral_Aberrations	
netty	0	0.6140176076844042	0.6335155015440702	0.6397460427837285	0.5612146423827791	0.6599699203999055	0.6584741800824436	0.5840706692775715	0.5793875193796443	0.5413690247214779	1.0	1.0	1.0	1.0	1.0	1.0	0.24232420936170693	0.44888969612199936	0.3663361083255071	0.32284114246059126	0.49585855367951565	0.0	0.6526717557251909	0.8243659197242056	0.7875318066157762	0.0	
netty	10	0.5978741892819281	0.6191969835645121	0.6251341400760475	0.5405870400055859	0.6473412895843831	0.6430076785740046	0.5661360371971239	0.5620320957530304	0.5191465222326802	1.0	1.0	1.0	1.0	1.0	1.0	0.19374721974304743	0.3893770008724908	0.3308833282927166	0.29687998031075125	0.45985982797069125	0.057083333333333305	0.6680555555555556	0.802396953405018	0.6453703703703704	0.0	
netty	11	0.5965511379514761	0.6181965205803724	0.6240418909903765	0.5387741131550147	0.6462930483408243	0.6418344588697991	0.5649013214192343	0.5602678135192236	0.5171074523516075	1.0	1.0	1.0	1.0	1.0	1.0	0.19144876337986994	0.38654734705101523	0.3295873591943502	0.2966399167241609	0.45667410003185727	0.05520833333333328	0.6671270718232044	0.8049367314204244	0.6325966850828729	0.0	
netty	12	0.5962123148654657	0.617882641828401	0.623667211774062	0.5383465448937244	0.6460293855281765	0.6415357372722549	0.5645090834435424	0.5598780271934982	0.5167354584237193	1.0	1.0	1.0	1.0	1.0	1.0	0.18964579630126477	0.38643531516606183	0.3292743103640387	0.29638169706799655	0.45667410003185727	0.05395833333333319	0.6662049861495845	0.8037262085604506	0.6329639889196677	0.0	
netty	13	0.5960686425348838	0.6177396683843857	0.6235105617898579	0.5381598088263867	0.6459560780947844	0.6413813765649483	0.5643420321937807	0.5597125473030539	0.5165556639404689	1.0	1.0	1.0	1.0	1.0	1.0	0.18828646738913107	0.3863130985642944	0.3287782075566804	0.2963110901307641	0.4571519592226823	0.05374999999999988	0.6662049861495845	0.8036815298007329	0.6320406278855033	0.0	
netty	14	0.5958743333966167	0.617403211359909	0.6231875576844557	0.5379949511474049	0.6459350634616551	0.6411426563446707	0.5640147215462639	0.5595743669689479	0.5165280815328078	1.0	1.0	1.0	1.0	1.0	1.0	0.18523152395330847	0.3846003686867487	0.3270922538985191	0.2953992519699336	0.4612934055431666	0.05250000000000001	0.6657458563535912	0.803577793619676	0.6339779005524862	0.0	
netty	15	0.5955882807783726	0.6171864817675189	0.6229475981123901	0.5376260608004328	0.6456943193903205	0.6408869211596614	0.563745154502691	0.5591893761797899	0.5161213532015577	1.0	1.0	1.0	1.0	1.0	1.0	0.18477900887541818	0.384136964071714	0.3269609325671596	0.295732113245458	0.4601784007645746	0.05333333333333326	0.6652892561983471	0.803141384519684	0.6308539944903582	0.0	
netty	16	0.5956059834265139	0.6172057018732705	0.622973537440616	0.5376579934965947	0.6457126453128974	0.6409023926813525	0.5637681751270519	0.5591923830142481	0.5161448240295958	1.0	1.0	1.0	1.0	1.0	1.0	0.1851083256967007	0.3837278779463537	0.32694634130811967	0.29594393405715536	0.4601784007645746	0.05333333333333326	0.6652892561983471	0.8033635474984453	0.6308539944903582	0.0	
netty	17	0.5970577518667077	0.6183572007387534	0.6241327052928922	0.5396927452430879	0.6468440185430661	0.6421218626625599	0.5649568815817931	0.561216432159599	0.5184570201752692	1.0	1.0	1.0	1.0	1.0	1.0	0.18449308106976245	0.38311679493751677	0.3274212204659652	0.2983425525819949	0.4601784007645746	0.04999999999999983	0.6657681940700808	0.8039953047561084	0.65633423180593	0.0	
netty	18	0.5959210172480474	0.6171393592360586	0.6225170728754041	0.538061217419553	0.6464141729912881	0.6407319059308726	0.5632978611505106	0.5602982827220929	0.5171482195597433	1.0	1.0	1.0	1.0	1.0	1.0	0.16295723767772702	0.37863721699218156	0.32355453682037894	0.2974670265603125	0.46256769671870024	0.05104166666666661	0.6684636118598383	0.8041909399182682	0.6540880503144655	0.0	
