Project	Version	TQI	Functional_Suitability	Performance_Efficiency	Compatibility	Usability	Reliability	Security	Maintainability	Portability	Bad_Function	Comprehensibility	Redundancy	Structurdness	Assignment	Resource_Handling	Cohesion	Coupling	Complexity	Messaging	Encapsulation	Pattern_Structural_Integrity	Pattern_Behavioral_Integrity	Pattern_Instability	Pattern_Structural_Aberrations	Pattern_Behavioral_Aberrations	
rxjava	0	0.6158140374252702	0.6161363724702509	0.6287209575889617	0.5609704506060851	0.6685951997839078	0.6538918733128859	0.5645360840489844	0.6133153778729837	0.5637947930231141	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.13055958229081446	0.10998493120884602	0.0	1.0	0.2185416666666666	0.551094890510949	0.8393571933129267	0.8807785888077859	0.41425	
rxjava	10	0.6124020058405136	0.613083010948454	0.6249496857601379	0.5568630294928298	0.6660822317703738	0.6511424149344877	0.5600969894320544	0.6090382429551902	0.5604720290001104	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.08249450874018453	0.1058383606853116	0.0	1.0	0.19833333333333328	0.5408805031446541	0.8386589571921281	0.9025157232704403	0.422975	
rxjava	11	0.6146739048183142	0.6153241239753037	0.6270718760734627	0.5591902743387014	0.6676980742462925	0.6533050292779763	0.5628447841767479	0.6117435532223205	0.5628550039898452	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.10328660811586135	0.11317113159193283	0.0	1.0	0.19458333333333325	0.5414012738853503	0.844514074378467	0.9087048832271762	0.423575	
rxjava	12	0.6139422695430568	0.6149166156739088	0.626514344742663	0.5579634030913139	0.6672295883310858	0.6527398601416063	0.5623031006774916	0.6104769553757581	0.5614489071554991	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.10319155075893115	0.11337806217468126	0.0	1.0	0.1862499999999999	0.540625	0.8483870967741934	0.9	0.425	
rxjava	13	0.6146873647053552	0.6155646195197166	0.6274297920679076	0.5589201782492015	0.6676794114568368	0.6532869919075955	0.563097671798067	0.6116389490899635	0.5622911681121179	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.10083039391089732	0.1108232653645957	0.0	1.0	0.18604166666666658	0.5391566265060241	0.8610571317528177	0.9046184738955824	0.427725	
rxjava	14	0.6106630240487687	0.6114202235677396	0.6246129108744047	0.5554543553125524	0.6647602946999722	0.6488972169096712	0.558152063919249	0.6073233881243295	0.5578383760778158	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.07099426600443376	0.08116056221447557	0.0	1.0	0.18604166666666658	0.5391566265060241	0.8610085503303537	0.9016064257028112	0.427725	
rxjava	15	0.6103894187211624	0.6111358155477219	0.624496689091571	0.5552484821347955	0.6645523362696573	0.6485643709759876	0.557841717819078	0.6070453791749144	0.5574917388143641	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.07034414158114335	0.07819986310746065	0.0	1.0	0.18604166666666658	0.5391566265060241	0.8615915273999224	0.9006024096385542	0.427725	
rxjava	16	0.6101400128633524	0.6108582592667502	0.624378615985987	0.5550815796379025	0.6643296727624214	0.6482756427687482	0.5576258429513585	0.6067790550045531	0.5571865060045303	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.07082282327139892	0.07636799685889985	0.0	1.0	0.1875	0.5391566265060241	0.8625145744267392	0.8975903614457831	0.426225	
rxjava	17	0.6101426157383896	0.6108610064040652	0.6243802674470469	0.555083640396165	0.6643315890393505	0.6482785975284302	0.5576290795004233	0.6067817203787377	0.5571893547412842	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.07083979779942226	0.07639054698650703	0.0	1.0	0.1875	0.5391566265060241	0.8625145744267392	0.8975903614457831	0.426225	
rxjava	18	0.6103094646396695	0.6110391744132961	0.6244757637053774	0.5552082987099277	0.6644558834095693	0.6484737560702113	0.5578357389976434	0.6069480906204866	0.5573741123448387	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.07171907835102652	0.07800089139327952	0.0	1.0	0.1875	0.5391566265060241	0.8625145744267392	0.8975903614457831	0.426225	
rxjava	19	0.61024150434919	0.6110053687483853	0.6244089675547552	0.5550770642137526	0.6644133337359238	0.6484308642095536	0.5578017141255511	0.6068161335900952	0.5572356385538899	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.07171907835102652	0.07845719985780152	0.0	1.0	0.1875	0.5391566265060241	0.8627089001165953	0.8955823293172691	0.426225	
rxjava	1	0.6173441538428701	0.6174393225545365	0.6298249307115732	0.56275904086007	0.6697033224952547	0.6553133690214674	0.56578256219041	0.6155472690477604	0.5660988210777709	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.12290746505793412	0.11307164573484235	0.0	1.0	0.22041666666666662	0.55	0.8431451612903227	0.9	0.41964999999999997	
rxjava	2	0.6178820436728611	0.6178539729452669	0.6301099128951642	0.5634300437512756	0.6700653238091411	0.6558531427280411	0.5662058064071379	0.61633335703985	0.5670634410478925	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.12339463401220135	0.11556807750876798	0.0	1.0	0.224375	0.5492957746478873	0.8383121308496139	0.9061032863849765	0.420775	
rxjava	3	0.6177317415578865	0.617914261040114	0.6291134600753513	0.5626943412980907	0.669774398380123	0.6564059474435476	0.566396467977209	0.615543286917323	0.5671266992950589	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.12886212948848963	0.13351665260599888	0.0	1.0	0.21791666666666668	0.5445205479452055	0.8303137428192668	0.9075342465753424	0.4144	
rxjava	4	0.6127717024250341	0.6131973584816882	0.6251367008162042	0.5576510968063403	0.6662283078592965	0.651531955196797	0.5607224592017862	0.6094711996601919	0.561246893980629	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.10200842615571078	0.11075163554749058	0.0	1.0	0.20458333333333328	0.5436241610738255	0.8259363498592769	0.901565995525727	0.41107499999999997	
rxjava	5	0.6128853951290064	0.6133387280419252	0.625187983594234	0.5576921139781758	0.6663163629331049	0.6516827434254328	0.5608900597573871	0.6095552497485737	0.5613358834914159	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.1020372828533503	0.11242034499042282	0.0	1.0	0.20458333333333328	0.5436241610738255	0.8268564624377569	0.9004474272930648	0.41107499999999997	
rxjava	6	0.6113733529391645	0.612501300188315	0.6240157558982878	0.5551528140214845	0.6653662937269563	0.6505269550862923	0.5597703963783196	0.6069079609379707	0.5584275175010583	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.10328660811586135	0.11317113159193283	0.0	1.0	0.1862499999999999	0.542483660130719	0.8333860425890788	0.8834422657952069	0.4134	
rxjava	7	0.6115706516079554	0.6126841674608358	0.62413196304487	0.5553696265109517	0.6655506174623818	0.6507188818620365	0.5598717283727378	0.6071748830497818	0.5587354850728732	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.10319155075893115	0.11337806217468126	0.0	1.0	0.18395833333333325	0.5427631578947368	0.8315471137521225	0.8892543859649124	0.414475	
rxjava	8	0.6117950638793503	0.6127589864796958	0.6243395726923409	0.5558162082239734	0.6657254872555325	0.6508000728324494	0.5598682444932619	0.6077100601406176	0.5592809938264864	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.10083039391089732	0.1108232653645957	0.0	1.0	0.1924999999999999	0.5427631578947368	0.8261353989813246	0.8903508771929824	0.417775	
rxjava	9	0.6114844562166227	0.6124811833309048	0.6241107077366073	0.5554660114973435	0.6655371188904771	0.6504696430846344	0.5594612022211277	0.6073502302691611	0.5588824937907599	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.09719784491392221	0.10858549681910555	0.0	1.0	0.1924999999999999	0.5427631578947368	0.8259231748726654	0.8892543859649124	0.419425	

