Project	Version	TQI	Functional_Suitability	Performance_Efficiency	Compatibility	Usability	Reliability	Security	Maintainability	Portability	Bad_Function	Comprehensibility	Redundancy	Structurdness	Assignment	Resource_Handling	Cohesion	Coupling	Complexity	Messaging	Encapsulation	Pattern_Structural_Integrity	Pattern_Behavioral_Integrity	Pattern_Instability	Pattern_Structural_Aberrations	Pattern_Behavioral_Aberrations	
selenium	0	0.6787473611434709	0.7053723201577176	0.7045194643376247	0.6292466771137601	0.7094021545904212	0.724503173573442	0.6554930036092317	0.6408453581319711	0.6142244226891449	1.0	1.0	1.0	1.0	1.0	1.0	0.6285231577037653	0.3935306678797796	0.5626643790833721	0.48277795933847356	0.40713603058298814	0.0	0.5833333333333333	0.8083333333333333	1.0	0.33335000000000004	
selenium	10	0.7307301606873287	0.755553768234018	0.750427229031276	0.6932129830083164	0.7607865272263653	0.7730792641713023	0.7186433960250068	0.6784783249594755	0.6810766259608995	1.0	1.0	1.0	1.0	1.0	1.0	0.807250276459115	0.47073251878231526	0.7461502790788144	0.7271443571878642	0.5607757250145493	0.0	0.5877192982456141	0.814516129032258	1.0	0.324575	
selenium	11	0.7270268575518984	0.7523309016280906	0.7474565901130213	0.6884873646329439	0.7573110148189557	0.7693293875739593	0.7139577587308353	0.6756829271023961	0.6758812443631316	1.0	1.0	1.0	1.0	1.0	1.0	0.7900283650772616	0.4621383152441446	0.7279646813908601	0.7158257833243936	0.5423401890617039	0.0	0.5877192982456141	0.814516129032258	1.0	0.33335000000000004	
selenium	12	0.7236576491392435	0.7494051121513744	0.744668187886824	0.6845776948221048	0.754025708593279	0.7660623079024775	0.7101050554176056	0.6725438340976205	0.6715098230944526	1.0	1.0	1.0	1.0	1.0	1.0	0.7769311298311369	0.46256267844472587	0.717808277831793	0.7122403724308719	0.5234811074561831	0.0	0.5849056603773585	0.8102556299452222	1.0	0.3302	
selenium	13	0.7148365819885313	0.7394073634458366	0.7358223138693241	0.6778844809072677	0.7464583160075874	0.758151727351472	0.7014493889668673	0.6618821153027059	0.6636831461917484	1.0	1.0	1.0	1.0	1.0	1.0	0.7744724899431144	0.46004196103327344	0.7164775120493738	0.7109815155638749	0.5206635670833826	0.0	0.5964912280701755	0.7879173740803621	0.9970760233918129	0.232475	
selenium	14	0.7213338060270206	0.7458846681504012	0.7421205594153761	0.6852714564063941	0.752457976962107	0.7641505552591903	0.7089022727882206	0.6680563899536107	0.6705846930345509	1.0	1.0	1.0	1.0	1.0	1.0	0.8014883986749091	0.4633876405066557	0.7336153559790979	0.7237965036587171	0.5242825148350672	0.0	0.6181818181818182	0.7983870967741935	1.0	0.231825	
selenium	15	0.7189472789025088	0.7440757007698084	0.7400794161618974	0.6822260408672346	0.750554948865236	0.7618375888795305	0.7063632026490931	0.6651736481082784	0.6670029817336337	1.0	1.0	1.0	1.0	1.0	1.0	0.7928230628168202	0.4571868454197631	0.7304373350361092	0.7258544248743788	0.5094527579859469	0.0	0.6226415094339622	0.7977784540474742	0.9874213836477987	0.226425	
selenium	16	0.7181240583828545	0.7434492503735654	0.7394490958697999	0.6812146755615971	0.7497578199186523	0.7610065364527873	0.7054009623794544	0.664393718222295	0.6658108190779083	1.0	1.0	1.0	1.0	1.0	1.0	0.7890939960881576	0.45589168893158927	0.7276901934898881	0.7259437698910685	0.5024228346830915	0.0	0.6226415094339622	0.7977784540474742	0.9874213836477987	0.226425	
selenium	17	0.7177231342583312	0.7429681026964764	0.7390195055782514	0.6807249354627547	0.7494151082063399	0.7606029732349787	0.7048757908226277	0.664190833393886	0.665371266970317	1.0	1.0	1.0	1.0	1.0	1.0	0.7859474690442176	0.45617346609677517	0.7257107857813097	0.7229169331995972	0.5037950178089468	0.0	0.6226415094339622	0.7977784540474742	0.9874213836477987	0.226425	
selenium	18	0.7154318044003812	0.7404614500616871	0.7367495843581022	0.6789516765644139	0.7470720240392381	0.758624380930777	0.702336267318049	0.6617924168538909	0.6636331923154845	1.0	1.0	1.0	1.0	1.0	1.0	0.7852637908810212	0.4559290328932404	0.7236062551899947	0.7221089327613693	0.49840713603058295	0.0	0.6176470588235294	0.7858950031625553	1.0	0.2108	
